id,name,type,level,year,floors,elevator,elevator_goods,building_area,property_fee,park_fee,park_overground,park_underground,floor_area,floor_height,pure_height,hall_height,if_foreign,if_register,latitude,longitude,store_nearby,mall_nearby,park_nearby,hotel_nearby,metro_nearby,rent,rent_haozu,rent_BC_haozu
2096,古美创智中心,4,3,-1,4,2,0,8000,0,0,0,0,0,3.5,0,0,1,1,31.1635,121.408,14,0,14,12,1,4.57,4.5,4.84
2105,永生大楼,4,3,-1,0,1,0,0,0,0,0,0,0,3.5,0,0,1,1,31.2568,121.489,40,12,40,17,1,3.55,3.37,6.6
2106,天物空间,4,3,3,6,3,0,40000,25,0,0,0,0,3.85,0,0,1,1,31.2384,121.564,5,1,5,3,1,5.07,7.75,8.67
2109,上海开文大厦,4,2,7,7,3,1,11375,8.8,0,56,127,1600,3.9,0,5.2,0,1,31.215,121.619,2,0,2,9,0,3.14,3.5,4.68
2110,申亚金融广场,4,3,26,29,4,1,34335,21,1000,50,0,850,3.6,2.6,3.5,1,1,31.2206,121.439,21,1,21,34,0,3.95,5.18,6.92
2114,耀江国际广场,4,3,9,28,4,1,137000,14,1200,30,100,760,3.6,2.5,5.5,1,1,31.2554,121.496,64,7,64,35,0,3.85,4.1,6.6
2117,嘉兴大厦,5,3,23,26,4,2,30257,21,800,20,100,1000,3.4,2.5,4,1,1,31.2304,121.534,26,0,26,24,3,4.36,4.9,11.33
2118,银海大楼,4,2,23,12,4,1,18000,8.4,850,60,500,1012,3.6,2.8,4.5,1,1,31.1706,121.42,11,0,11,5,2,2.53,5.1,5.67
2119,圣骊虹桥创意园,3,2,12,6,1,1,8657,15,350,35,0,1326,4.2,4,5.4,1,1,31.2003,121.427,24,2,24,12,1,3.85,5.2,7.18
2124,金峰世纪大厦,4,2,11,18,2,1,10000,7,1200,0,32,509,3.5,2.9,5,1,1,31.2342,121.437,29,6,29,15,0,3.22,0,0
2129,上海主角,4,3,9,10,4,1,4999,25,1600,0,135,1575,5.55,5.3,11,0,1,31.173,121.432,18,1,18,7,0,4.56,7.5,4.78
2130,亚芯中心,4,3,6,9,4,0,76235,12,0,0,0,2600,3.5,0,0,1,1,31.2168,121.637,2,3,2,4,0,4.56,6.5,4.68
2131,由度慧谷,3,1,-1,5,0,0,0,4.5,0,0,0,0,4.5,0,0,1,1,31.2555,121.605,5,1,5,12,1,2.74,3,3.46
2139,宏汇莲花广场,4,3,3,11,8,0,56210,26,0,0,0,0,2.9,0,0,1,1,31.162,121.403,9,0,9,10,2,4.26,4.47,2.85
2141,太平金融大厦,4,3,8,38,16,2,110599,34,1500,50,371,2714,4.6,3,13,1,1,31.2399,121.51,16,3,16,13,1,10.14,14.13,13.92
2151,谷泰滨江大厦,4,2,16,26,6,2,30000,18,500,30,130,1400,3.6,2.4,8,0,1,31.2175,121.512,5,0,5,3,0,3.04,3.9,10.33
2156,钱江大厦,4,3,15,27,6,1,47170,22,800,0,150,1478,3.4,2.4,5.5,0,1,31.2286,121.536,25,0,25,17,2,5.07,6.36,11.33
2159,外滩金融中心,4,3,-1,0,0,0,420000,30,0,0,0,0,0,0,0,1,1,31.2322,121.504,38,10,38,15,0,8.62,12,10.33
2160,泰成商务楼,4,2,19,10,4,1,7500,3.5,250,0,40,750,3,2.5,3.5,0,1,31.1747,121.441,18,3,18,15,1,3.11,3.1,5.67
2162,上勤大厦,4,3,3,13,4,0,0,25,0,0,0,0,4.2,0,0,1,1,31.3023,121.465,3,0,3,0,0,3.55,3.65,4.33
2164,宏伊国际广场,5,3,13,32,6,2,64642,32,1500,0,147,1476,5,2.7,7,1,1,31.243,121.491,66,18,66,67,1,7.71,8.81,7.28
2167,联通国际大厦,4,3,22,27,4,1,39150,19,1050,58,272,1470,3.6,2.4,6,1,1,31.2521,121.457,23,2,23,31,0,3.65,4.2,5.92
3,金领之都,4,3,8,11,2,1,300000,12,250,323,230,1007,3.9,2.8,5.2,1,1,31.2653,121.63,7,1,7,1,0,3.24,3.53,3.46
22,万街303,4,2,3,4,0,0,8000,9,0,0,0,0,5.3,0,0,1,1,31.1459,121.45,13,0,13,2,0,2.64,2.96,4.51
29,立明大厦,4,2,11,15,3,1,0,6.9,300,30,200,0,3.2,2.8,5,0,1,31.183,121.41,7,0,7,1,0,3.55,4,4.78
90,中信广场,5,3,8,55,18,4,150000,36,1200,13,387,2600,4.1,3.1,15,1,1,31.254,121.491,80,12,80,35,2,6.08,8.93,6.6
113,渡口空间,4,3,-1,5,0,0,5000,15,0,0,0,0,3.5,0,0,1,1,31.2124,121.51,8,1,8,4,1,7.1,8.3,5.39
115,君欣时代广场,4,3,1,23,0,0,0,30,0,0,0,0,0,0,0,1,1,31.2794,121.521,38,4,38,9,2,3.65,4.6,5.63
121,新华联大厦,4,3,22,20,6,1,59611,30,1400,10,120,1300,3.3,2.6,3,1,1,31.2248,121.471,37,9,0,31,1,4.64,6.5,9.28
128,千羽创意园,5,2,12,5,1,1,5000,10,500,5,50,400,4.5,3,4.5,0,1,31.2136,121.487,52,3,52,24,1,3.85,5,10.1
141,良丰大厦,4,2,22,38,4,1,31000,7.9,500,0,30,1500,2.65,2.5,3.5,1,1,31.2488,121.525,17,0,17,24,1,2.53,4,13.92
149,飞洲国际广场,5,3,15,33,9,2,80000,21,1200,50,250,2300,4,2.8,10,1,1,31.1893,121.444,19,3,19,21,3,5.5,6.7,5.67
185,环球世界大厦,4,3,21,32,7,1,40000,24.9,1200,20,70,1021,3.8,2.8,6,1,1,31.2305,121.451,42,9,42,25,1,4.56,6.57,9.34
187,金鹰大厦,4,3,15,21,4,1,66000,18.6,1200,80,300,1200,2.6,2.7,6.5,1,1,31.227,121.556,7,3,7,4,0,6.08,7.67,7.23
192,久事商务大厦,5,3,13,40,0,0,68080,24,800,199,45,0,0,0,0,1,1,31.2418,121.495,57,13,57,52,1,5.07,11.6,10.33
204,由由世纪广场,4,3,9,22,8,1,150000,22,1100,100,615,1800,2.95,2.9,9,1,1,31.2235,121.541,12,0,12,4,0,6.39,7.2,11.33
206,凯龙金领大厦,4,3,-1,12,4,0,55592,15,0,0,0,0,4,0,0,1,1,31.2653,121.63,7,1,7,1,0,3.04,3.5,3.46
212,虹漕园,4,2,13,12,2,1,66000,6.5,500,30,170,1336,4.3,2.6,4.5,0,1,31.1831,121.415,12,0,12,2,0,3.04,3.5,4.78
216,沙田大厦,5,3,15,28,3,1,26000,15.7,600,100,100,747,3.6,2.6,4,0,1,31.2438,121.441,47,4,47,28,2,3.55,5.54,5.94
220,虹桥天地,5,3,5,10,4,0,380000,33,0,0,0,3200,2.75,0,0,1,1,31.1988,121.321,12,2,0,3,0,4.61,9.22,6.16
224,旭辉虹桥国际,4,3,8,6,4,1,64707,15,800,50,460,1300,5,4.5,5.3,1,1,31.2336,121.361,8,1,8,1,0,3.85,5.14,4.63
237,金赢108创意广场,5,3,9,21,5,1,100000,5,600,400,500,1400,5.4,0,11,0,1,31.2735,121.473,37,3,37,14,1,3.04,5.43,4.77
259,泛太平洋大厦,4,2,12,18,1,1,9146,24,1200,19,0,1000,3,2.7,3.5,0,1,31.2356,121.458,35,8,35,34,0,5.07,5.5,8.11
263,717工坊,4,3,-1,5,1,0,3900,7.5,0,0,0,0,3.8,0,0,1,1,31.246,121.458,21,3,21,10,0,4.07,4,8.86
269,瑞金商务中心,4,3,22,20,3,1,21500,20,400,20,60,800,3,2.6,5,1,1,31.2105,121.472,34,1,0,28,2,4.06,5.31,8.53
279,宝纳大厦,4,3,11,9,2,1,14145,20,500,37,38,1656,3.5,2.7,4.2,0,1,31.1823,121.383,12,10,0,8,0,3.35,3.58,6.28
287,七宝宝龙城市广场,4,3,-1,4,0,0,390857,0,0,0,0,0,0,0,0,1,1,31.1632,121.361,29,4,29,13,1,4.16,4.44,16.23
312,浦江科技广场,4,3,-1,25,4,0,400000,9.3,0,0,0,0,0,0,0,1,1,31.1023,121.513,5,1,5,0,1,3.35,3.64,2.23
314,燎申宜山大厦,4,3,14,10,2,1,11800,4,500,40,0,1400,3.3,2.8,4.8,0,0,31.1743,121.397,2,0,2,2,0,3.14,3.5,4.84
316,鑫达商务楼,4,2,12,8,5,1,23360,18,200,30,80,1460,3.8,2.8,5,0,1,31.23,121.361,14,1,14,3,0,4.81,5.6,4.63
337,金岛大厦,5,2,18,22,4,1,35000,10,800,50,200,1100,3.8,2.7,5,1,1,31.3047,121.522,24,22,0,13,2,3.65,4.27,24.11
